cpse_a,code_a,description_a,cpse_b,code_b,description_b,semantic_score,attribute_score,final_score,classification
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,BHEL,BHEL-2202,SS316 HEX BOLT M12X60,0.9401,1.0,0.976,IDENTICAL
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.9353,1.0,0.9741,IDENTICAL
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,0.8852,1.0,0.9541,IDENTICAL
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,0.8727,1.0,0.9491,IDENTICAL
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,0.8618,1.0,0.9447,IDENTICAL
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,0.8608,1.0,0.9443,IDENTICAL
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.8385,1.0,0.9354,IDENTICAL
ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.8175,1.0,0.927,IDENTICAL
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,0.7941,1.0,0.9176,IDENTICAL
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.7616,1.0,0.9046,IDENTICAL
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,0.7576,1.0,0.903,IDENTICAL
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,0.7553,1.0,0.9021,IDENTICAL
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,0.7393,1.0,0.8957,EQUIVALENT
BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.7357,0.75,0.7443,NEAR_DUPLICATE
ONGC,ONGC-1004,BEARING 6205 ZZ,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.8143,0.6667,0.7257,NEAR_DUPLICATE
ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.6522,0.75,0.7109,NEAR_DUPLICATE
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.757,0.6667,0.6,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.7911,0.6667,0.6,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.9433,0.75,0.6,DIFFERENT
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.9026,0.6667,0.6,DIFFERENT
ONGC,ONGC-1004,BEARING 6205 ZZ,SAIL,SAIL-3104,BEARING 6205 2Z,0.9398,0.5,0.6,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.9616,0.6667,0.6,DIFFERENT
ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.9148,0.75,0.6,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.8009,0.75,0.6,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.8857,0.75,0.6,DIFFERENT
BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.8093,0.75,0.6,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.9723,0.3333,0.5889,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.9255,0.3333,0.5702,DIFFERENT
SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.6511,0.5,0.5604,DIFFERENT
ONGC,ONGC-1004,BEARING 6205 ZZ,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.8506,0.3333,0.5402,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,0.8306,0.3333,0.5322,DIFFERENT
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,SAIL,SAIL-3104,BEARING 6205 2Z,0.7676,0.3333,0.507,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,BHEL,BHEL-2202,SS316 HEX BOLT M12X60,0.8632,0.0,0.3453,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,0.8551,0.0,0.342,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,0.8355,0.0,0.3342,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,0.8085,0.0,0.3234,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,BHEL,BHEL-2202,SS316 HEX BOLT M12X60,0.8042,0.0,0.3217,DIFFERENT
SAIL,SAIL-3104,BEARING 6205 2Z,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.7962,0.0,0.3185,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,0.7772,0.0,0.3109,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,0.7746,0.0,0.3098,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,0.7561,0.0,0.3024,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,BHEL,BHEL-2202,SS316 HEX BOLT M12X60,0.7164,0.0,0.2865,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.5793,0.0,0.2317,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.5631,0.0,0.2252,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.5506,0.0,0.2202,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.5376,0.0,0.215,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.5336,0.0,0.2134,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.5326,0.0,0.2131,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.5279,0.0,0.2111,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.5206,0.0,0.2083,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.5131,0.0,0.2052,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.5022,0.0,0.2009,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.4995,0.0,0.1998,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.4973,0.0,0.1989,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.4966,0.0,0.1986,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.4905,0.0,0.1962,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.4902,0.0,0.1961,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.4822,0.0,0.1929,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.4741,0.0,0.1896,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.4704,0.0,0.1882,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.4653,0.0,0.1861,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.4617,0.0,0.1847,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.4593,0.0,0.1837,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.4538,0.0,0.1815,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.4534,0.0,0.1814,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.4528,0.0,0.1811,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.4451,0.0,0.178,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.4392,0.0,0.1757,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.4303,0.0,0.1721,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.4203,0.0,0.1681,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.4113,0.0,0.1645,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.4075,0.0,0.163,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.4037,0.0,0.1615,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.3962,0.0,0.1585,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3891,0.0,0.1557,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,0.3835,0.0,0.1534,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.3808,0.0,0.1523,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.3803,0.0,0.1521,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3752,0.0,0.1501,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.3745,0.0,0.1498,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.3682,0.0,0.1473,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3656,0.0,0.1462,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3634,0.0,0.1454,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3537,0.0,0.1415,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.3515,0.0,0.1406,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.3514,0.0,0.1405,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.3479,0.0,0.1392,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3456,0.0,0.1382,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3435,0.0,0.1374,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.3415,0.0,0.1366,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.3394,0.0,0.1358,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3378,0.0,0.1351,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.3357,0.0,0.1343,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3341,0.0,0.1336,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.3337,0.0,0.1335,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3316,0.0,0.1326,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,0.3223,0.0,0.1289,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.3212,0.0,0.1285,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.3202,0.0,0.1281,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.3178,0.0,0.1271,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.3125,0.0,0.125,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.3087,0.0,0.1235,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.3044,0.0,0.1217,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,0.3032,0.0,0.1213,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.2967,0.0,0.1187,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.2966,0.0,0.1186,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.2945,0.0,0.1178,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.2895,0.0,0.1158,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,SAIL,SAIL-3104,BEARING 6205 2Z,0.2865,0.0,0.1146,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.2864,0.0,0.1146,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.2851,0.0,0.1141,DIFFERENT
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2832,0.0,0.1133,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2834,0.0,0.1133,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,SAIL,SAIL-3104,BEARING 6205 2Z,0.2827,0.0,0.1131,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2795,0.0,0.1118,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,SAIL,SAIL-3104,BEARING 6205 2Z,0.2789,0.0,0.1116,DIFFERENT
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.278,0.0,0.1112,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.2733,0.0,0.1093,DIFFERENT
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.2715,0.0,0.1086,DIFFERENT
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2625,0.0,0.105,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,SAIL,SAIL-3104,BEARING 6205 2Z,0.2584,0.0,0.1033,DIFFERENT
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.2567,0.0,0.1027,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,0.2557,0.0,0.1023,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.2536,0.0,0.1015,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,SAIL,SAIL-3104,BEARING 6205 2Z,0.2478,0.0,0.0991,DIFFERENT
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.2458,0.0,0.0983,DIFFERENT
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2459,0.0,0.0983,DIFFERENT
NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.2406,0.0,0.0963,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,SAIL,SAIL-3104,BEARING 6205 2Z,0.24,0.0,0.096,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,ONGC,ONGC-1004,BEARING 6205 ZZ,0.2343,0.0,0.0937,DIFFERENT
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,0.2335,0.0,0.0934,DIFFERENT
NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.2259,0.0,0.0904,DIFFERENT
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.2246,0.0,0.0898,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,SAIL,SAIL-3104,BEARING 6205 2Z,0.2209,0.0,0.0884,DIFFERENT
