cpse,material_code,description,unit
ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304,PCS
BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM,PCS
SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304,PCS
NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304,PCS
ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316,PCS
BHEL,BHEL-2202,SS316 HEX BOLT M12X60,PCS
SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316,PCS
NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316,PCS
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,PCS
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,PCS
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,PCS
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,PCS
ONGC,ONGC-1004,BEARING 6205 ZZ,PCS
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,PCS
SAIL,SAIL-3104,BEARING 6205 2Z,PCS
NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,PCS
ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM, MTR
BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,MTR
SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,MTR
NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,MTR
