national_material_code,standardized_description,category,material,diameter_mm,length_mm,size_mm,pressure_rating_psi,connection_type,bearing_number,seal_type,wall_thickness_mm,pipe_type,cpse,cpse_material_code,original_description
N-MAT-BLT-SS304-M10-L050,HEXAGONAL BOLT SS304 M10 X50MM,BOLT,SS304,10.0,50.0,,,,,,,,ONGC,ONGC-1001,HEX BOLT M10 X 50 SS304
N-MAT-BLT-SS304-M10-L050,HEXAGONAL BOLT SS304 M10 X50MM,BOLT,SS304,10.0,50.0,,,,,,,,BHEL,BHEL-2201,SS 304 HEXAGONAL BOLT 10MM X 50MM
N-MAT-BLT-SS304-M10-L050,HEXAGONAL BOLT SS304 M10 X50MM,BOLT,SS304,10.0,50.0,,,,,,,,SAIL,SAIL-3101,HEX BOLT M10*50 STAINLESS STEEL 304
N-MAT-BLT-SS304-M10-L050,HEXAGONAL BOLT SS304 M10 X50MM,BOLT,SS304,10.0,50.0,,,,,,,,NTPC,NTPC-4401,HEXAGONAL BOLT M10 X 50 MM SS304
N-MAT-BLT-SS316-M12-L060,HEXAGONAL BOLT SS316 M12 X60MM,BOLT,SS316,12.0,60.0,,,,,,,,ONGC,ONGC-1002,HEX BOLT M12 X 60 SS316
N-MAT-BLT-SS316-M12-L060,HEXAGONAL BOLT SS316 M12 X60MM,BOLT,SS316,12.0,60.0,,,,,,,,BHEL,BHEL-2202,SS316 HEX BOLT M12X60
N-MAT-BLT-SS316-M12-L060,HEXAGONAL BOLT SS316 M12 X60MM,BOLT,SS316,12.0,60.0,,,,,,,,SAIL,SAIL-3102,HEXAGON BOLT M12 60MM SS316
N-MAT-BLT-SS316-M10-L050,HEXAGONAL BOLT SS316 M10 X50MM,BOLT,SS316,10.0,50.0,,,,,,,,NTPC,NTPC-4402,HEX BOLT M10 X 50 SS316
N-MAT-BV-SS316-S508-P150-FLANGED,BALL VALVE SS316 508MM FLANGED 150PSI,BALL_VALVE,SS316,,,50.8,150.0,FLANGED,,,,,ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI
N-MAT-BV-SS316-S508-P150-FLANGED,BALL VALVE SS316 508MM FLANGED 150PSI,BALL_VALVE,SS316,,,50.8,150.0,FLANGED,,,,,BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI
N-MAT-BV-SS316-S50-P150-FLANGED,BALL VALVE SS316 50MM FLANGED 150PSI,BALL_VALVE,SS316,,,50.0,150.0,FLANGED,,,,,SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI
N-MAT-BV-SS304-S508-P150-FLANGED,BALL VALVE SS304 508MM FLANGED 150PSI,BALL_VALVE,SS304,,,50.8,150.0,FLANGED,,,,,NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI
N-MAT-BRG-6205-ZZ,BEARING 6205 ZZ,BEARING,,,,,,,6205,ZZ,,,ONGC,ONGC-1004,BEARING 6205 ZZ
N-MAT-BRG-6205-ZZ,BEARING 6205 ZZ,BEARING,,,,,,,6205,ZZ,,,BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING
N-MAT-BRG-6205-2Z,BEARING 6205 2Z,BEARING,,,,,,,6205,2Z,,,SAIL,SAIL-3104,BEARING 6205 2Z
N-MAT-BRG-6206-ZZ,BEARING 6206 ZZ,BEARING,,,,,,,6206,ZZ,,,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ
N-MAT-PIP-SS304-D50-T3-SEAMLESS,SS304 SEAMLESS PIPE OD50MM WT3MM,PIPE,SS304,50.0,,,,,,,3.0,SEAMLESS,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM
N-MAT-PIP-SS304-D50-T3-SEAMLESS,SS304 SEAMLESS PIPE OD50MM WT3MM,PIPE,SS304,50.0,,,,,,,3.0,SEAMLESS,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM
N-MAT-UNRESOLVED,SS304 PIPE,PIPE,SS304,,,,,,,,,,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK
N-MAT-PIP-SS316-D50-T3-SEAMLESS,SS316 SEAMLESS PIPE OD50MM WT3MM,PIPE,SS316,50.0,,,,,,,3.0,SEAMLESS,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM
